words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
furar,A,1,1,0,2
minar,0,1,6,0,3
coca-bichinhos,-,1,0,0,5
bicheiro,-,1,0,0,6
pancada,-,5,0,3,3
tapona,+,0,0,2,3
descanso,+,0,0,1,2
sossega,+,0,0,2,3
encomendar,0,0,1,0,4
remeter,0,0,4,0,3
ressarcir,+,0,0,1,3
desvanecimento,-,4,1,0,3
envaidecimento,-,1,0,0,3
doidivanas,-,2,1,0,3
zaranza,-,3,1,0,4
amarelo-avermelhado,U,0,0,0,6
ruivo,A,1,0,1,5
circunvizinhança,+,0,0,2,3
termo,+,1,1,4,2
dizer,0,0,10,0,3
dirigir,0,0,3,0,2
sossego,+,0,0,3,3
calma,+,0,0,2,4
comparecer,0,0,3,0,4
ir,0,1,9,2,3
oportuno,+,0,1,4,2
propício,+,0,0,4,2
entregar-se,0,1,5,1,3
abandonar,0,1,4,2,3
guardar,0,0,6,2,3
pôr,0,0,6,0,2
melieiro,+,0,0,1,4
parecer,+,0,1,7,2
cheirar,+,0,0,1,2
fadiga,A,0,1,1,3
estafa,-,2,0,0,3
concessão,+,0,0,3,2
ponta,+,0,0,2,2
legitimar,A,0,1,1,5
justificar,0,0,6,0,4
oferecer-se,0,0,1,0,2
propor,0,0,1,0,1
assinalar,+,0,1,3,2
estremar,+,0,0,2,2
persuasivo,+,0,0,1,3
poderoso,A,1,0,1,2
absurdo,-,2,0,0,3
kafkiano,-,3,0,0,3
adeleiro,U,0,0,0,8
trapeiro,U,0,0,0,9
predomínio,+,0,1,3,4
império,+,0,0,2,3
pescador,0,0,1,0,4
marítimo,0,0,2,0,3
desatarraxar,A,1,0,1,4
desaparafusar,0,0,2,0,4
mágico,-,5,1,3,4
encantado,-,3,0,1,4
repisado,0,0,1,0,4
matraqueado,A,0,1,1,3
aprovar,+,0,0,1,2
sancionar,+,0,1,3,3
sorte,+,0,0,2,1
sancadilha,A,1,0,1,2
estabelecer,0,0,10,0,3
dispor,0,0,5,1,2
agitar-se,0,0,4,0,3
tumultuar,A,0,2,2,3
sobrenatural,0,0,1,0,3
ultra-humano,0,0,2,1,3
barulho,-,9,0,0,2
farfalheira,-,1,0,0,3
enfaixar,0,0,2,0,3
encueirar,0,0,1,0,4
aviso,+,0,0,9,3
ameaça,+,2,0,4,4
indicar,0,0,6,2,2
marcar,+,0,2,3,2
comprimir,-,5,0,0,2
premer,-,1,0,0,2
reunir,0,0,9,0,3
agrupar,0,0,4,0,3
tolo,A,1,0,1,2
idiota,0,2,4,1,3
peta,-,1,0,0,1
mentira,-,7,0,1,2
tratante,-,2,1,0,3
vergalho,-,2,0,0,4
alastrar-se,0,0,1,0,3
espalhar,0,0,3,0,2
âmio-vulgar,U,0,0,0,-1
âmi,U,0,0,0,-1
projecto,+,1,0,4,3
desígnio,+,0,1,11,3
sarabanda,+,0,0,5,5
retambana,+,0,0,1,4
presunção,-,2,0,1,2
ganja,-,2,0,0,3
alhear,0,0,3,0,4
divagação,-,1,0,0,3
evagação,-,2,0,0,3
devastar,-,4,0,0,2
estragar,-,7,2,4,3
fronteira,A,1,0,1,3
marco,+,0,1,3,3
escavado,+,1,0,2,4
solapado,-,1,0,0,3
antimonástico,U,0,0,0,-1
antimonacal,U,0,0,0,-1
desmesurado,0,0,2,0,3
cavalar,0,0,2,0,3
desviado,-,3,0,2,4
desmandado,A,1,1,0,3
suportar,0,1,6,4,3
digerir,U,0,0,0,2
sistema,+,1,0,5,2
teor,+,0,0,5,3
consolo,A,1,0,1,3
mitigação,U,0,0,0,4
pálido,-,1,0,0,2
descorado,-,2,0,0,3
originar,0,0,4,0,2
motivar,0,0,2,0,2
excelente,+,0,1,4,2
especial,0,0,3,2,3
inocente,0,0,6,1,3
ingénuo,0,0,2,0,2
hábil,+,2,1,5,3
giro,A,1,0,1,2
vozearia,-,1,0,0,1
grulhada,-,1,0,0,2
distinguir-se,+,0,1,10,3
extremar,+,0,0,3,2
pactuado,+,0,0,1,4
firmado,+,0,0,3,3
conservantismo,U,0,0,0,-1
tradicionalismo,U,0,0,0,-1
arreliado,-,2,0,0,4
perro,-,5,0,0,4
fermentado,-,1,0,0,4
choco,A,1,1,0,3
multivalve,U,0,0,0,-1
polivalve,U,0,0,0,-1
combinar-se,0,0,2,0,3
casar,0,0,5,0,3
conformidade,+,0,0,1,2
relação,+,0,0,6,3
prostrado,-,5,0,1,4
quebrado,-,3,0,1,3
nojento,0,4,6,0,4
surrento,0,0,2,0,4
inserido,A,0,1,1,4
metido,+,1,0,5,4
borbulhagem,0,0,1,0,5
fogagem,0,0,1,0,4
soberbo,+,1,0,4,3
altaneiro,+,0,0,2,4
verde,-,2,1,1,3
virente,+,1,0,3,3
corajoso,-,5,0,0,3
viril,-,2,0,0,4
escarrar,0,0,2,0,3
gosmar,0,0,1,0,4
enfadar-se,A,1,0,1,4
enojar,A,1,0,1,4
pedregoso,-,1,0,0,3
sáxeo,-,2,0,0,3
bebedeira,+,1,0,2,3
pala,+,1,0,2,2
incorporar-se,0,0,1,0,4
fundir,0,2,3,0,3
abrasador,-,1,0,0,3
fogoso,-,1,0,0,2
testiculoso,U,0,0,0,-1
testicular,U,0,0,0,-1
contiguidade,+,0,0,3,5
proximidade,+,1,0,4,4
adoentado,-,2,1,0,3
amormado,-,1,0,0,4
endez,U,0,0,0,-1
aninhador,U,0,0,0,-1
assinante,+,0,0,1,5
subscritor,+,0,0,1,6
permanecer,0,0,4,0,3
ficar,0,0,4,0,2
gramatical,U,0,0,0,-1
gramático,U,0,0,0,-1
índigo,U,0,0,0,6
anil,U,0,0,0,5
domínio,+,0,2,7,3
unha,+,0,0,5,3
poio,U,0,0,0,-1
poia,U,0,0,0,-1
coronha,+,0,0,1,5
cronha,+,0,0,2,4
germe,A,0,1,1,4
plântula,U,0,0,0,5
transformação,0,0,1,0,2
reviravolta,0,0,3,0,3
fascínio,-,3,0,0,3
feitiço,-,4,0,0,3
cercar,A,2,2,0,3
bordar,0,0,4,0,3
celebrar,+,0,0,1,2
exaltar,+,0,0,6,1
definhar,A,1,1,1,2
sargaço,-,1,0,0,6
algaço,-,1,0,0,7
comando,+,0,0,1,3
batuta,A,1,0,1,2
magistratura,U,0,0,0,-1
toga,U,0,0,0,-1
tolice,-,5,0,0,3
parbiça,-,2,1,0,3
cessar,0,1,3,0,3
descontinuar,A,1,1,0,4
tasquinhadeira,U,0,0,0,-1
espadeladeira,U,0,0,0,-1
apelidar,0,0,2,1,3
