words,polarity,negativeCounter,neutralCounter,positiveCounter,iteration
adormecimento,-,2,0,1,4
apoquentação,-,4,0,0,3
temer,0,0,2,0,4
reconfortar,+,0,0,1,3
pátio,+,0,0,1,5
aido,+,0,0,2,6
traquinar,+,0,0,2,3
sarilhar,-,3,0,1,3
baquear,-,2,1,0,3
despeitar,U,0,0,0,3
vários,-,1,0,0,5
depuração,+,0,0,2,4
monocórdio,-,1,0,0,3
monotonizar,0,0,1,0,5
impressão,-,2,0,1,3
afigurar-se,+,0,0,3,3
entrefigurar-se,+,0,0,1,3
catano,+,0,0,1,5
senhoril,+,0,0,2,2
encastrar,0,0,3,0,4
realizador,+,0,0,1,4
cineasta,+,0,0,1,5
roncar,+,0,0,1,3
ronquejar,+,0,0,1,4
galafura,0,1,2,0,4
demanda,+,0,0,5,3
desgaste,U,0,0,0,4
atrição,+,0,0,1,4
sempiterno,0,0,2,0,5
flutuosidade,-,2,0,0,4
aconselhável,U,0,0,0,-1
sugerível,U,0,0,0,-1
preguiceiro,A,1,0,1,4
apegar-se,0,0,1,0,3
enervar-se,U,0,0,0,4
enfolar,+,0,0,2,4
degenerar,+,0,0,1,4
machiar,+,0,0,1,5
pimpão,+,0,0,6,4
arrecadação,+,0,0,1,3
armazém,+,0,0,2,4
trono,+,0,0,1,4
sólio,+,0,0,1,5
cinco-réis,-,1,0,0,5
guines,-,1,0,0,4
reduzido,-,2,0,0,4
enjoativo,-,2,0,0,4
agoniante,-,1,0,0,4
orfeónico,0,0,1,0,4
insolvência,U,0,0,0,-1
craque,U,0,0,0,-1
remessa,+,0,0,1,5
envio,+,0,0,1,4
salvar-se,0,0,2,0,5
aura,+,0,0,2,2
descaminho,0,0,3,0,4
ignominiar,-,2,0,0,3
garrotar,U,0,0,0,-1
garrotear,U,0,0,0,-1
maquiavélico,-,1,0,0,3
maquiavelista,-,1,0,0,4
formulário,+,0,0,1,4
boletim,+,0,0,3,5
entressonhar,0,0,1,0,3
janicípite,U,0,0,0,-1
janicéfalo,U,0,0,0,-1
redondeza,+,0,0,2,5
arredondamento,+,0,0,1,6
peladura,-,1,0,0,4
exuberância,0,0,4,0,3
usança,+,0,0,2,3
orgulhar,+,0,0,5,4
segmentário,0,0,1,0,6
costureiro,U,0,0,0,-1
modisto,U,0,0,0,-1
tabaco,+,0,0,1,5
macanha,+,0,0,2,6
agarrochar,A,1,1,0,3
corrimento,-,2,0,0,3
soldo,+,0,0,2,5
encancerar,-,1,0,0,5
lamentavelmente,0,0,1,0,10
estrangeirismo,-,1,0,0,2
exotismo,-,1,0,0,3
oferente,U,0,0,0,-1
oferecedor,U,0,0,0,-1
trom,-,2,0,0,2
lucho,-,1,0,0,5
eduzir,+,0,1,2,3
catequização,-,1,0,0,4
charanga,-,1,0,0,5
charamela,-,1,0,0,6
tamanqueiro,U,0,0,0,-1
soqueiro,U,0,0,0,-1
outrossim,-,1,0,0,5
purificante,+,0,0,1,9
estagnação,-,3,0,0,4
detestável,-,5,0,0,3
exercício,+,0,1,3,3
funcionamento,A,0,2,2,4
mamparra,A,1,1,0,4
indignar,A,1,1,1,4
irar,U,0,0,0,4
concúbito,+,0,0,1,5
desarraigar,0,0,1,0,4
opulência,-,3,1,0,3
mala-ventura,-,2,0,0,3
arujo,A,1,0,1,5
evidenciar,+,0,1,2,3
palpabilizar,A,0,1,1,3
miraculosamente,0,0,2,0,5
sensualmente,U,0,0,0,-1
lubricamente,U,0,0,0,-1
ajoujado,-,1,0,0,5
derreado,-,5,0,0,4
rabiscar,0,0,1,0,6
garatujar,0,0,1,0,7
subjugado,-,1,0,0,3
submergir-se,-,1,0,0,4
afocinhar,-,1,0,0,5
coincidente,U,0,0,0,4
concordante,A,0,1,1,3
apresamento,+,0,0,2,4
apanha,+,0,0,3,5
apanhadura,+,0,0,1,6
caiação,-,2,0,0,5
remastigar,0,0,2,0,5
reconforto,+,0,0,2,4
vivedor,+,0,0,1,3
veracidade,A,1,1,1,3
autenticidade,+,0,0,1,4
abstruir,A,1,1,0,4
lábil,-,1,0,0,4
guerrilheiro,-,1,0,0,5
guerrilha,-,3,0,0,4
corundo,U,0,0,0,-1
corindo,U,0,0,0,-1
beneficência,+,0,0,1,4
elucidar,+,0,0,2,3
mal-andante,-,2,0,0,2
despedrado,-,1,0,0,3
quinhoar,0,0,2,0,5
plácito,+,0,0,1,2
longevidade,U,0,0,0,-1
macrobia,U,0,0,0,-1
betesga,0,0,1,0,4
baiuca,0,0,5,0,4
ameia,U,0,0,0,-1
troneira,U,0,0,0,-1
suposto,A,2,0,2,4
astronómico,0,0,3,0,4
genérico,-,2,0,0,4
apalmar,-,1,0,0,5
testudo,-,2,0,0,4
cediço,-,1,0,0,3
cavaleiroso,-,1,0,0,4
desequilibrar,A,1,1,0,5
filósofo,0,0,1,0,4
curumba,0,0,1,0,4
gabão,-,1,0,0,4
saltada,A,1,1,1,4
perraria,-,2,0,0,4
candor,+,0,0,1,5
embrutecer,0,0,2,0,4
aterrado,-,1,0,0,5
cacha,-,1,0,0,2
passibilidade,+,0,0,1,4
congeminação,U,0,0,0,4
afanar-se,A,1,1,0,5
testaçudo,-,3,0,0,4
bufonaria,A,1,0,1,5
escravista,U,0,0,0,-1
esclavagista,U,0,0,0,-1
usar-se,+,0,0,1,4
gostoso,+,0,0,2,2
balceiro,0,0,1,0,4
estremado,+,0,0,1,4
alapado,U,0,0,0,5
assapado,U,0,0,0,4
produtividade,+,0,0,1,4
fertilidade,A,1,1,0,4
desagastar,0,0,1,0,4
orçamentar,U,0,0,0,3
chamamento,+,0,0,2,3
desabalada,A,1,0,1,4
falecer,0,1,3,0,3
muralhar,+,0,1,2,4
sujeitar-se,0,1,4,1,4
adufa,-,1,0,0,5
privativo,0,0,1,0,2
aprisionamento,+,0,0,2,4
boiz,-,2,0,0,2
aboiz,-,1,0,0,3
imperar,0,0,3,1,3
galhudo,-,1,0,0,4
magistério,+,0,0,2,4
assinalar-se,+,0,0,2,2
analéptico,+,0,0,1,3
discrição,+,0,0,5,2
sigilo,+,0,0,3,3
destrambelho,-,4,0,0,3
coadjuvação,+,0,0,2,2
ovologia,U,0,0,0,-1
oologia,U,0,0,0,-1
intestino,A,0,1,1,4
interno,A,0,1,1,4
incoação,+,0,0,2,4
passagear,U,0,0,0,-1
passajar,U,0,0,0,-1
canhoneio,U,0,0,0,-1
canhonada,U,0,0,0,-1
hiperactivo,U,0,0,0,5
salpico,+,0,0,1,4
ressalto,+,0,0,3,4
afundar-se,A,1,1,0,4
petróleo,+,0,0,1,4
alarvada,-,1,0,0,3
genealogista,U,0,0,0,-1
genealógico,U,0,0,0,-1
congregante,+,0,0,1,5
areísco,-,1,0,0,4
vala,+,0,0,1,5
runa,U,0,0,0,5
tenso,-,2,0,0,2
compactado,0,0,1,0,5
gatafunhar,0,0,1,0,5
predicante,U,0,0,0,-1
predicador,U,0,0,0,-1
instigar,A,0,3,3,3
fatal,-,4,0,0,2
colar,0,0,4,1,3
esterroar,-,2,0,0,4
escavaçar,-,1,0,0,5
pasmoso,-,2,0,1,4
inconcebível,0,1,2,0,4
repartição,A,0,1,1,3
altanaria,-,2,0,0,4
volataria,-,1,0,0,5
atropelo,-,2,0,0,3
deliberação,+,0,0,6,3
mordimento,A,1,0,1,4
avençal,+,0,0,1,4
virtal,+,0,0,1,5
escoado,U,0,0,0,-1
filtrado,U,0,0,0,-1
discrepante,-,2,0,0,4
felpudo,-,1,0,0,6
veloso,-,1,0,0,5
durativo,0,0,1,0,4
fagulhar,U,0,0,0,5
safo,-,1,0,0,4
quebradura,A,1,0,1,3
acompridar,+,0,0,2,4
impasse,-,2,0,0,3
privar-se,0,1,2,0,3
hematosina,U,0,0,0,-1
hematina,U,0,0,0,-1
cristão,A,0,1,1,3
giaur,U,0,0,0,4
atalaia,+,0,0,2,4
espreita,+,0,0,1,4
crime,-,2,0,0,2
clínico,+,0,0,1,5
extraordinariamente,0,0,2,0,2
descompassadamente,0,0,1,0,3
sindicar,A,0,1,1,3
facetar,0,0,1,0,4
deselegante,-,4,0,0,4
escapatória,+,0,0,3,3
mau-humor,-,1,0,0,3
prosternado,+,0,0,1,4
ressalvar,0,0,6,0,4
fulgência,+,1,0,2,4
aperceber-se,0,0,2,0,2
papeira,+,0,1,2,7
fada,+,0,0,1,5
estirão,A,1,1,0,3
estiramento,0,0,1,0,3
conferência,A,1,0,1,4
bebedor,-,1,0,0,4
gastar-se,A,1,1,0,3
hidrargirismo,U,0,0,0,-1
mercurialismo,U,0,0,0,-1
narval,U,0,0,0,-1
unicórnio,U,0,0,0,-1
gaiato,A,1,1,0,3
infiel,-,2,0,0,4
vai-não-vai,+,0,0,2,4
proferir,0,0,6,0,3
inusitado,0,1,2,0,4
desusual,A,1,1,0,4
copista,+,0,0,1,7
escriba,+,0,0,1,8
linchagem,U,0,0,0,-1
linchamento,U,0,0,0,-1
sarda,U,0,0,0,-1
lentigem,U,0,0,0,-1
estrilho,-,2,0,0,3
talim,U,0,0,0,-1
inaugurado,0,0,1,0,5
agadanhar,A,0,1,1,4
fragilidade,+,0,0,1,3
barro,+,0,0,1,4
seiva,0,0,3,2,4
emocionável,+,0,0,1,5
escochar,A,0,1,1,3
pedacinho,+,0,0,1,5
escassilho,+,0,0,1,6
isco,-,1,0,0,4
desvalorizar-se,U,0,0,0,4
ablação,-,1,0,0,5
excisão,-,2,0,0,6
congruente,0,0,2,1,3
magnesite,U,0,0,0,-1
giobertite,U,0,0,0,-1
merceeiro,U,0,0,0,15
especieiro,U,0,0,0,16
explodir,A,2,2,0,3
vigarista,-,2,0,0,5
alcoólatra,+,0,0,1,5
alcoólico,+,0,0,1,4
quarto,+,0,0,2,4
aposento,+,0,0,2,4
inaudito,0,1,2,0,4
salvatério,+,0,0,2,3
furta-cor,+,0,0,1,5
confidência,+,0,0,2,3
incoar,0,0,2,0,4
morsegar,A,1,0,1,4
desempapelar,+,0,0,1,4
esbulhar,U,0,0,0,4
cunha,+,0,0,3,3
tojeira,U,0,0,0,-1
tojeiro,U,0,0,0,-1
granizo,+,0,0,1,5
pomar,U,0,0,0,6
cruelíssimo,U,0,0,0,-1
crudelíssimo,U,0,0,0,-1
caturrice,-,3,0,0,3
eviscerar,U,0,0,0,-1
atiçador,+,0,0,1,4
burlesco,+,1,0,5,3
pícaro,-,2,0,1,3
escoteiro,+,0,0,1,4
atassalhadura,-,2,0,0,4
reassumir,U,0,0,0,3
cardar,A,0,2,2,3
enfastiamento,-,1,0,0,3
presumível,0,0,1,0,2
inferir,+,0,0,3,2
altanar,+,0,0,1,4
irritadiço,-,1,0,0,4
fanfar,+,0,0,1,3
comparticipar,0,0,1,0,6
guarda-jóias,+,0,0,1,8
porta-jóias,+,0,0,2,8
judaizar,U,0,0,0,-1
hebraizar,U,0,0,0,-1
afogueamento,-,2,0,0,4
arraia,+,0,0,1,4
aguça,+,0,0,1,3
chafundar,0,0,1,0,4
alfinetada,+,0,0,1,4
desbotamento,+,0,0,1,6
inexplicavelmente,U,0,0,0,-1
misteriosamente,U,0,0,0,-1
mudado,A,1,0,1,4
ninar,A,0,1,1,5
adstringente,-,2,0,0,5
travento,-,1,0,0,4
augurar,+,0,0,1,3
auspiciar,+,0,0,1,4
remesso,-,1,0,0,3
anfiteatro,+,0,0,2,5
pressagiador,U,0,0,0,5
curtimento,+,0,0,1,3
esmaecimento,-,1,0,0,5
plagiário,+,0,0,1,8
acautelar-se,0,0,4,1,3
lubricidade,-,3,0,0,5
chupador,-,1,0,0,5
mal-mal,0,0,1,0,5
vibração,-,3,0,1,4
empolgamento,U,0,0,0,3
libitina,+,0,0,1,4
risonho,+,0,0,2,2
essencialmente,0,0,1,0,3
visceralmente,0,0,1,0,2
rapazinho,-,4,0,0,5
cagunço,-,1,0,0,6
ditirambo,+,0,0,1,4
surpresa,-,4,0,0,3
savoir-vivre,+,0,0,1,3
central,0,0,2,0,4
medial,0,0,1,0,5
almotaçaria,+,0,0,1,4
acolher-se,0,0,2,0,4
escarambar-se,+,0,0,1,4
interinamente,U,0,0,0,-1
temporariamente,U,0,0,0,-1
incivilidade,-,3,0,0,4
indeficiente,0,0,2,0,2
manipresto,+,0,0,1,4
murchar,-,2,0,1,3
desjejum,U,0,0,0,-1
desjejua,U,0,0,0,-1
cresta,A,0,1,1,3
agatanhar-se,+,0,0,1,5
calafrio,A,1,1,0,5
horripilação,-,1,0,0,5
restabelecer,0,0,2,1,3
reconstituir,0,0,4,0,3
engarrafar-se,U,0,0,0,5
quinquilharia,-,2,0,0,5
brinquinho,-,2,0,0,5
interjeição,U,0,0,0,-1
exclamação,U,0,0,0,-1
desencapotar,0,0,2,0,3
carapinhudo,-,1,0,0,4
voador,+,1,0,2,5
andarilho,A,1,0,1,5
turrista,-,2,0,0,4
enxadada,U,0,0,0,-1
cavadela,U,0,0,0,-1
desforço,+,0,0,2,4
espelunca,+,0,0,3,5
grupo,+,0,1,2,3
abnóxio,0,0,2,0,4
protelar,0,0,3,1,4
efectivo,A,0,1,1,3
militante,+,0,0,1,4
ferregial,U,0,0,0,-1
ferragial,U,0,0,0,-1
trinca-fortes,-,1,0,0,4
desencarregar-se,0,0,1,0,5
sotaventear,U,0,0,0,-1
ajular,U,0,0,0,-1
esclarecimento,+,0,1,3,3
aclaração,+,0,0,2,4
atença,+,0,0,1,4
acorrilhar,+,0,0,1,4
surro,-,2,0,0,4
micante,+,0,0,1,4
café-concerto,U,0,0,0,-1
music-hall,U,0,0,0,-1
cosmético,-,1,0,0,4
descompor-se,-,2,0,0,4
desorganizar,-,1,0,0,3
descomandar,A,1,0,1,4
transacção,+,0,0,2,2
camada,0,0,1,0,3
hostilidade,-,3,0,0,4
mondina,U,0,0,0,-1
mondadeira,U,0,0,0,-1
arruar,A,0,1,1,4
asnada,-,1,0,0,4
euripo,-,1,0,0,3
deteriorar-se,-,4,0,0,4
monopolizado,+,0,0,1,5
protuberante,+,0,0,1,4
protruso,+,0,0,2,4
impressionista,0,0,1,0,4
indiscutivelmente,0,0,2,0,5
inquestionavelmente,0,0,2,0,5
sanhoso,-,1,0,0,4
deplorativo,-,1,0,0,4
muzimo,+,0,0,1,3
enfadado,-,2,0,0,4
nojoso,-,5,2,0,4
ulterior,+,0,0,2,5
subsequente,+,0,1,2,5
frutificar,0,0,1,0,2
pomificar,0,0,1,0,3
fuso,+,0,0,1,4
árvore,+,0,0,1,3
manejável,+,0,0,1,5
generosidade,A,0,2,2,3
empate,-,2,0,0,5
pate,A,1,1,0,4
sino,+,0,0,1,3
salivar,0,0,1,0,3
cuspir,0,0,2,0,2
ungulígrados,U,0,0,0,-1
conúbio,+,0,0,3,2
esfericidade,+,0,0,1,6
baraça,+,0,0,1,5
cãs,+,0,0,1,5
desembocar,0,0,3,0,3
dissidir,0,0,2,0,5
pulmões,+,0,0,1,4
conspiração,-,3,0,2,3
entrevação,-,1,0,0,6
chuvisco,U,0,0,0,5
meliante,0,0,3,0,4
subjectivismo,U,0,0,0,-1
egotismo,U,0,0,0,-1
bicanca,U,0,0,0,-1
bicanço,U,0,0,0,-1
orlar,0,0,2,1,3
fimbriar,0,0,1,0,4
hidrófobo,-,1,0,0,3
peugada,+,0,2,3,4
faro,+,0,1,2,3
respaldar,A,1,0,1,3
xeque,A,1,0,1,3
desentrapar,0,0,1,0,5
desfarelar,0,0,1,0,5
estrambólico,A,1,0,1,3
moda,+,1,0,2,2
proemial,U,0,0,0,6
tia,U,0,0,0,-1
titi,U,0,0,0,-1
tostar-se,+,0,0,1,4
distorcer,U,0,0,0,3
sertanejo,A,1,1,0,4
deslocado,-,1,0,0,4
alheio,A,2,0,2,4
modilhão,U,0,0,0,-1
corvo,U,0,0,0,-1
anteprimeiro,+,0,0,1,5
rebuçar,-,3,1,0,4
cabeça-de-vento,-,1,0,0,5
esbarrar,0,0,3,1,3
adjacência,+,0,0,2,5
enxergar,+,0,0,2,2
mortalha,-,1,0,0,4
aclarar,0,0,4,1,3
desnublar,0,0,1,0,4
carantonha,A,1,0,1,4
relimar,0,0,1,0,3
custeamento,A,1,1,0,3
meneio,-,1,0,0,2
rocaz,U,0,0,0,-1
rochaz,U,0,0,0,-1
guerreia,+,0,0,1,4
candidamente,U,0,0,0,-1
ingenuamente,U,0,0,0,-1
descender,0,1,2,0,2
marginalizado,+,0,0,2,5
desensoberbecer,-,2,0,0,1
desprecatar-se,U,0,0,0,4
rechonchar,+,0,0,1,4
farnel,A,1,1,0,5
fardel,U,0,0,0,6
mobilizar,U,0,0,0,-1
atropar,U,0,0,0,-1
lesão,-,2,0,0,3
vassalo,A,0,1,1,5
tónico,0,0,1,0,4
desimpedido,+,0,1,2,4
goense,U,0,0,0,-1
recontro,-,4,1,0,4
pedir,0,0,3,0,3
fragmento,-,2,0,0,3
rebusnar,0,0,1,0,3
compadrado,+,0,0,1,1
indecoro,A,1,0,1,4
estranhão,-,2,0,0,4
solidar,+,0,0,2,3
denegar,0,0,2,0,4
hipocondria,-,1,0,0,3
atrabile,-,1,0,0,4
monete,+,0,0,3,4
obstruído,+,0,1,2,4
ensodar,U,0,0,0,4
localidade,+,0,1,3,4
local,+,0,0,2,4
nastro,-,1,0,0,5
nadegueiro,U,0,0,0,-1
glúteo,U,0,0,0,-1
validos,+,0,0,1,3
século,A,0,1,1,4
ocar,0,0,1,0,4
gládio,+,0,0,2,3
permutável,U,0,0,0,-1
trocável,U,0,0,0,-1
lindeiro,A,1,0,1,5
flandres,+,0,0,2,5
desposar,+,0,0,1,2
esposar,+,0,0,1,3
espelho,+,0,0,1,3
noz-de-galha,U,0,0,0,-1
bugalho,U,0,0,0,-1
pio,+,0,0,2,3
pincelada,+,0,0,1,4
pincelagem,+,0,0,1,5
questionador,+,0,0,1,7
jobar,0,0,1,0,2
esquartejar,U,0,0,0,4
quartejar,U,0,0,0,5
publicação,+,0,0,1,6
denunciação,+,0,0,1,5
pulguento,U,0,0,0,-1
pulgoso,U,0,0,0,-1
solão,U,0,0,0,-1
salão,U,0,0,0,-1
trocadilho,-,1,0,0,3
triquestroques,-,1,0,0,4
clamar,0,0,1,0,3
praceiro,+,0,0,1,3
claridade,-,1,0,0,4
sacrificado,A,1,0,1,5
cartucheira,U,0,0,0,-1
ganha-pão,+,0,0,1,5
intervenção,+,0,0,1,2
ingerência,+,0,0,2,3
carta-branca,+,0,0,1,4
chavalo,A,1,0,1,5
superabundar,0,0,2,0,3
exabundar,0,0,1,0,4
indiscriminado,A,1,1,0,4
indiferenciado,U,0,0,0,5
abalado,-,2,0,0,2
ilegalmente,U,0,0,0,-1
ilegitimamente,U,0,0,0,-1
vindouros,0,0,1,0,5
convocar,0,0,5,0,3
folho,0,0,1,0,5
parotidite,+,0,0,1,6
gaipeiro,U,0,0,0,8
arame,-,1,0,0,4
empecer,A,2,2,0,4
carruagem,U,0,0,0,6
gestão,+,0,0,2,4
achar,A,0,1,1,2
crinito,0,0,1,0,5
crinífero,0,0,1,0,6
erudito,+,0,0,3,3
sapiencial,A,0,1,1,3
sítios,U,0,0,0,4
prumo,+,0,0,2,3
omnipatente,+,0,0,3,3
bandurrilha,0,0,2,0,4
tardígrado,U,0,0,0,-1
lentígrado,U,0,0,0,-1
outeiro,+,0,0,1,4
cerro,+,0,0,1,5
desabrimento,-,3,0,0,4
escoltar,0,0,2,0,4
comboiar,0,0,1,0,5
futicar,-,3,0,0,3
ministrado,+,0,0,1,5
subministrado,+,0,0,1,4
cicio,-,1,0,0,4
ciciamento,-,1,0,0,5
repimpar,+,0,0,3,4
medianeira,-,1,0,0,6
ministra,-,1,0,0,7
mona,+,0,0,2,3
contraprovar,0,0,2,0,4
reverificar,0,0,2,0,3
hendecágono,U,0,0,0,-1
undecágono,U,0,0,0,-1
rebolear,0,0,1,0,2
entusiasmante,A,1,1,0,6
galvanizante,0,0,1,0,5
cabrazar,+,0,0,1,2
sudário,-,1,0,0,5
murmuroso,-,1,0,0,10
esgrimir,0,0,1,0,3
correctamente,+,0,0,1,3
chinó,U,0,0,0,5
panegiricar,+,0,0,1,3
supormos,U,0,0,0,5
suspirante,-,1,0,0,4
açoitamento,+,0,0,1,4
vitimário,U,0,0,0,-1
vitimador,U,0,0,0,-1
acessão,+,0,1,4,3
seguidor,+,0,1,3,5
adepto,+,1,0,3,5
consenso,+,0,0,2,3
infernação,-,2,0,0,3
desate,+,0,0,2,4
freirático,-,2,0,0,6
polifonia,U,0,0,0,-1
contraponto,U,0,0,0,-1
documento,+,0,0,1,3
ligar-se,0,0,4,0,3
apertadeira,U,0,0,0,-1
apertador,U,0,0,0,-1
sarmento,0,0,1,0,5
pimpolho,A,1,1,0,5
saciar-se,+,0,1,3,3
agressividade,U,0,0,0,4
loiro,+,0,0,1,5
entrecortado,0,0,1,0,4
agra,+,0,0,1,4
alancear,+,0,0,1,3
inânia,-,1,0,0,3
adormecedor,-,1,0,0,4
humilhante,-,1,0,0,4
depressor,-,1,0,0,5
inaugurador,+,0,0,1,6
principiador,+,0,0,2,7
manducar,0,0,2,0,4
isca,-,2,0,1,4
pisadura,-,2,0,0,5
trilhamento,-,1,0,0,6
comissão,+,0,0,2,4
desapropriação,-,3,0,1,4
reedificação,0,0,1,0,6
reconstrução,0,0,1,0,5
desmoralizar,-,3,0,2,3
desbriar,-,1,0,0,4
quadrífido,U,0,0,0,-1
tetráfido,U,0,0,0,-1
estruturar,0,0,2,0,3
arcaboiçar,0,0,1,0,4
bicípite,U,0,0,0,-1
dicéfalo,U,0,0,0,-1
ziguezague,A,1,0,1,4
torcicolo,-,1,0,0,4
vinificação,U,0,0,0,-1
vinagem,U,0,0,0,-1
pestilento,-,1,0,0,4
miasmático,-,2,0,0,5
mal-andança,-,2,0,0,3
comparar-se,A,1,1,0,4
semelhar,A,0,1,1,3
larica,-,1,0,0,4
papalino,U,0,0,0,-1
papal,U,0,0,0,-1
memorável,+,0,1,2,3
pianíssimo,+,0,0,1,3
judiar,A,1,0,1,3
surgimento,+,0,0,1,4
caída,+,0,0,1,2
danar,+,0,0,2,3
vestimenta,+,0,0,1,3
encadernação,+,0,0,1,4
pataratar,+,0,0,1,5
encurralado,U,0,0,0,-1
ensacado,U,0,0,0,-1
estorninho,U,0,0,0,-1
corta-vento,U,0,0,0,-1
fungadeira,-,1,0,0,3
barbeiro,+,0,0,1,6
veicular,0,0,3,0,4
queixo,0,0,1,0,4
guecho,0,0,1,0,5
estivar,+,0,0,1,3
apertadouro,U,0,0,0,-1
prândio,U,0,0,0,4
reverencioso,+,0,0,2,5
ratoeira,-,2,0,0,2
instalação,U,0,0,0,2
trasfegar,0,1,3,1,3
baldear,0,0,2,0,3
paraninfo,+,0,0,1,4
arrenegar,A,1,0,1,3
acomia,-,1,0,0,6
calvície,-,1,0,0,5
vinda,+,0,0,3,4
gonorreia,U,0,0,0,5
blenorreia,U,0,0,0,6
gurrino,0,0,2,0,4
contratar,0,0,6,0,3
drogado,0,0,1,0,4
anoitecer,-,1,0,0,4
noitinha,A,1,0,1,5
assar,A,1,1,0,4
rechinar,0,0,1,0,4
sacrificar,+,1,0,2,3
sobreeminente,+,0,0,1,4
aceleração,+,0,1,2,3
jaquetão,U,0,0,0,-1
japona,U,0,0,0,-1
codilho,-,1,0,0,1
oblatar,0,0,1,0,4
oferendar,0,0,2,0,4
encorrilhar,-,2,0,0,4
desapaixonadamente,0,0,1,0,5
imparcialmente,0,0,1,0,4
implicação,A,1,0,1,4
patíbulo,U,0,0,0,3
cadafalso,+,0,0,1,4
meiminho,U,0,0,0,-1
mendinho,U,0,0,0,-1
contraposição,-,2,0,1,4
submarino,U,0,0,0,-1
hipotalássico,U,0,0,0,-1
entontecido,-,1,0,0,6
azoado,-,1,0,0,5
ril,U,0,0,0,-1
rim,U,0,0,0,-1
sarcasmo,+,0,0,3,2
asilo,+,0,0,6,2
trebelhar,+,0,0,1,2
morosidade,+,0,0,1,4
tolhimento,-,1,0,0,6
medricas,-,1,0,0,4
paterno,+,0,0,1,4
arrepanho,-,1,0,0,4
desajoujar,0,1,2,0,4
manear,0,0,1,0,3
melífico,-,1,0,0,4
melífero,-,1,0,0,5
cobiçoso,-,2,0,0,4
cúpido,-,4,0,0,5
autocrata,A,1,1,0,5
carbonoso,U,0,0,0,-1
carbonáceo,U,0,0,0,-1
toldar,-,2,1,0,3
remisso,-,3,0,0,3
insulador,U,0,0,0,-1
lustre,+,1,0,3,3
franduleiro,-,2,0,0,5
descalçadela,+,0,0,2,4
completivo,U,0,0,0,-1
integrante,U,0,0,0,-1
chuço,U,0,0,0,-1
rifar,0,0,1,0,4
residência,+,0,0,1,3
excitar-se,0,0,1,0,3
ouvinte,+,0,0,1,4
audiente,+,0,0,1,5
moléstia,-,7,0,0,3
proflúvio,-,1,0,0,4
subido,A,1,2,2,2
consolado,+,0,0,1,5
desmazelar-se,-,2,0,0,4
filádio,U,0,0,0,-1
filito,U,0,0,0,-1
natureza,+,0,4,5,3
entusiasta,-,2,0,1,4
carola,+,0,0,1,3
saído,0,0,2,0,3
distúrbio,-,4,0,0,3
trovoada,-,3,0,1,3
toeira,-,1,0,0,2
escutar,+,0,0,1,2
ouvir,+,0,0,1,1
malversação,-,1,0,0,4
fogosidade,-,3,1,0,3
dermápteros,U,0,0,0,-1
dermatópteros,U,0,0,0,-1
banzo,-,1,0,0,3
bragante,A,1,1,0,4
rasura,+,0,0,1,6
raspança,+,0,0,1,5
tranquiberneiro,0,0,1,0,5
planeamento,+,0,0,1,4
arquitectação,+,0,0,1,5
brandir,0,0,3,0,3
conexo,+,0,1,2,4
espúmeo,-,2,0,0,5
espumoso,-,1,0,0,5
briquete,+,0,0,1,5
ultrajador,-,1,0,0,4
tirânico,-,1,0,0,3
repulsão,-,2,0,1,5
mancar,0,0,3,0,4
manquitar,0,0,2,0,4
atoleimar,+,0,0,2,5
abajoujar,+,0,0,2,5
elocução,+,0,0,1,3
triplo,U,0,0,0,-1
acompanhante,+,0,0,1,4
escolta,+,0,0,1,3
bomba,-,1,0,0,5
petardo,-,1,0,0,6
ascendente,+,0,0,4,4
coerente,0,0,1,0,3
palidejar,0,0,1,0,6
palorejar,0,0,1,0,7
escassear,A,2,2,0,4
falir,-,2,0,0,3
histrião,-,3,0,1,4
impedimentos,+,0,0,1,3
recolhida,+,0,0,1,5
repontar,+,0,2,3,4
sornar,+,0,0,1,5
febre,0,0,2,1,4
notoriedade,A,1,0,1,3
empernamento,+,0,0,2,5
renitir,0,0,1,0,5
desmelindrar,0,0,1,0,5
encabar,0,0,2,0,4
buzanfã,+,0,0,1,5
inflação,-,1,0,0,3
achincalhar,-,1,0,0,1
gavela,+,0,0,1,4
rolheiro,+,0,0,1,5
antedatar,U,0,0,0,-1
retrodatar,U,0,0,0,-1
retaguarda,U,0,0,0,-1
ré,U,0,0,0,-1
furtivamente,U,0,0,0,-1
avançamentos,+,0,0,1,3
encostes,+,0,0,1,2
ganglionite,U,0,0,0,-1
adenite,U,0,0,0,-1
lúzio,+,0,0,1,4
volúpia,-,1,0,0,3
deliberado,+,0,0,3,3
distintivo,+,0,0,2,3
letreiro,+,0,0,3,4
convertimento,0,0,2,0,3
calções,-,1,0,0,7
cabedula,-,1,0,0,8
prensar,-,1,0,0,2
calcadela,-,1,0,0,5
localizado,A,1,0,1,5
guarecer,U,0,0,0,4
intangível,+,0,0,1,4
chincalhar,A,1,1,0,2
vertiginoso,A,1,0,1,4
eléctrico,-,2,0,0,4
instinto,+,0,0,2,3
fermentáceo,U,0,0,0,-1
fermentativo,U,0,0,0,-1
coxear,0,1,3,0,5
sopegar,0,0,1,0,6
músculo,+,0,0,4,3
muque,+,0,0,1,4
desemparelhado,0,0,1,0,5
enlear-se,-,1,0,0,3
ensilvar,-,1,0,0,4
trem,U,0,0,0,5
